S No.,Will be tested for,Marks Obtained,Maximum Marks
1,Senior Maths ICSE,44.0,50
2,Senior Maths ICSE,39.0,50
3,Senior Maths ICSE,29.0,50
4,Senior Maths ICSE,28.0,50
5,Senior Maths ICSE,24.0,50
6,Senior Maths ICSE,20.0,50
7,Senior Maths ICSE,15.0,50
8,Senior Maths ICSE,15.0,50
9,Senior Maths ICSE,11.0,50
10,Senior Maths ICSE,10.0,50
11,Robotics,53.0,100
12,Robotics,46.5,100
13,Robotics,34.5,100
14,Robotics,9.5,50
15,Primary Maths,38.5,50
16,Primary Maths,36.0,50
17,Primary Maths,40.5,50
18,Primary Maths,42.5,50
19,Primary Maths,40.5,50
20,Primary Maths,42.0,50
21,Primary Maths,43.0,50
22,Primary Maths,41.5,50
23,Primary Maths,39.0,50
24,Primary Maths,37.5,50
25,Primary Maths,38.5,50
26,Primary Maths,37.0,50
27,Primary Maths,38.0,50
28,Primary Maths,45.5,50
29,Primary Maths,36.5,50
30,Primary Maths,39.5,50
31,Primary Maths,42.0,50
32,Primary Maths,36.5,50
33,Primary Maths,36.5,50
34,Primary Maths,37.5,50
35,Primary Maths,42.0,50
36,Primary Maths,47.0,50
37,Primary Maths,35.5,50
38,Primary Maths,36.5,50
39,Primary Maths,37.5,50
40,Primary Maths,35.5,50
41,Primary Maths,35.0,50
42,Primary Maths,35.0,50
43,Primary Maths,35.0,50
44,Primary Maths,35.0,50
45,Primary Maths,35.0,50
46,Primary Maths,34.5,50
47,Primary Maths,33.5,50
48,Primary Maths,33.5,50
49,Primary Maths,33.5,50
50,Primary Maths,33.0,50
51,Primary Maths,32.5,50
52,Primary Maths,32.5,50
53,Primary Maths,32.0,50
54,Primary Maths,32.0,50
55,Primary Maths,31.5,50
56,Primary Maths,31.0,50
57,Primary Maths,31.0,50
58,Primary Maths,30.5,50
59,Primary Maths,30.5,50
60,Primary Maths,30.0,50
61,Primary Maths,29.5,50
62,Primary Maths,29.5,50
63,Primary Maths,29.5,50
64,Primary Maths,29.0,50
65,Primary Maths,28.0,50
66,Primary Maths,28.0,50
67,Primary Maths,28.0,50
68,Primary Maths,27.5,50
69,Primary Maths,27.5,50
70,Primary Maths,27.5,50
71,Primary Maths,27.0,50
72,Primary Maths,27.0,50
73,Primary Maths,27.0,50
74,Primary Maths,25.5,50
75,Primary Maths,25.5,50
76,Primary Maths,25.0,50
77,Primary Maths,24.5,50
78,Primary Maths,24.5,50
79,Primary Maths,23.5,50
80,Primary Maths,23.5,50
81,Primary Maths,23.0,50
82,Primary Maths,22.5,50
83,Primary Maths,21.5,50
84,Primary Maths,21.0,50
85,Primary Maths,21.0,50
86,Primary Maths,21.0,50
87,Primary Maths,20.0,50
88,Primary Maths,20.0,50
89,Primary Maths,19.5,50
90,Primary Maths,18.0,50
91,Primary Maths,17.5,50
92,Primary Maths,17.0,50
93,Primary Maths,17.0,50
94,Primary Maths,15.0,50
95,Primary Maths,14.5,50
96,Primary Maths,14.5,50
97,Primary Maths,14.0,50
98,Primary Maths,13.5,50
99,Primary Maths,13.5,50
100,Primary Maths,13.0,50
101,Primary Maths,13.0,50
102,Primary Maths,10.0,50
103,Primary Maths,9.5,50
104,Primary Maths,9.5,50
105,Primary Maths,47.5,50
106,Primary Maths,47.0,50
107,Primary Maths,46.0,50
108,Primary Maths,37.0,50
109,Primary Maths,36.0,50
110,Primary Computer,74.0,100
111,Primary Computer,67.0,100
112,Primary Computer,62.0,100
113,Primary Computer,69.5,100
114,Primary Computer,60.5,100
115,Primary Computer,68.5,100
116,Primary Computer,26.5,50
117,Primary Computer,26.0,50
118,Primary Computer,25.0,50
119,Primary Computer,22.5,50
120,Primary Computer,22.5,50
121,Primary Computer,20.0,50
122,Primary Computer,19.5,50
123,Primary Computer,19.0,50
124,Primary Computer,16.5,50
125,Primary Computer,16.5,50
126,Primary Computer,16.0,50
127,Primary Computer,14.5,50
128,Primary Computer,13.5,50
129,Primary Computer,13.5,50
130,Primary Computer,12.5,50
131,Primary Computer,12.0,50
132,Primary Computer,11.5,50
133,Pre-Primary,25.0,50
134,Pre-Primary,27.0,50
135,Pre-Primary,26.0,50
136,Pre-Primary,31.5,50
137,Pre-Primary,27.5,50
138,Pre-Primary,26.0,50
139,Pre-Primary,31.5,50
140,Pre-Primary,29.0,50
141,Pre-Primary,32.0,50
142,Pre-Primary,25.0,50
143,Pre-Primary,31.0,50
144,Pre-Primary,27.5,50
145,Pre-Primary,27.0,50
146,Pre-Primary,29.0,50
147,Pre-Primary,26.5,50
148,Pre-Primary,31.0,50
149,Pre-Primary,36.0,50
150,Pre-Primary,25.5,50
151,Pre-Primary,29.5,50
152,Pre-Primary,24.5,50
153,Pre-Primary,26.0,50
154,Pre-Primary,32.5,50
155,Pre-Primary,25.5,50
156,Pre-Primary,28.0,50
157,Pre-Primary,25.0,50
158,Pre-Primary,24.5,50
159,Pre-Primary,26.5,50
160,Pre-Primary,26.0,50
161,Pre-Primary,28.0,50
162,Pre-Primary,29.5,50
163,Pre-Primary,27.0,50
164,Pre-Primary,24.5,50
165,Pre-Primary,27.5,50
166,Pre-Primary,37.0,50
167,Pre-Primary,27.5,50
168,Pre-Primary,26.5,50
169,Pre-Primary,24.0,50
170,Pre-Primary,24.0,50
171,Pre-Primary,24.0,50
172,Pre-Primary,23.0,50
173,Pre-Primary,23.0,50
174,Pre-Primary,23.0,50
175,Pre-Primary,22.5,50
176,Pre-Primary,22.5,50
177,Pre-Primary,22.5,50
178,Pre-Primary,22.0,50
179,Pre-Primary,22.0,50
180,Pre-Primary,22.0,50
181,Pre-Primary,22.0,50
182,Pre-Primary,22.0,50
183,Pre-Primary,22.0,50
184,Pre-Primary,22.0,50
185,Pre-Primary,21.5,50
186,Pre-Primary,21.5,50
187,Pre-Primary,21.0,50
188,Pre-Primary,21.0,50
189,Pre-Primary,21.0,50
190,Pre-Primary,21.0,50
191,Pre-Primary,20.5,50
192,Pre-Primary,20.5,50
193,Pre-Primary,20.5,50
194,Pre-Primary,20.5,50
195,Pre-Primary,20.5,50
196,Pre-Primary,20.5,50
197,Pre-Primary,20.0,50
198,Pre-Primary,20.0,50
199,Pre-Primary,20.0,50
200,Pre-Primary,20.0,50
201,Pre-Primary,20.0,50
202,Pre-Primary,20.0,50
203,Pre-Primary,20.0,50
204,Pre-Primary,19.5,50
205,Pre-Primary,19.5,50
206,Pre-Primary,19.5,50
207,Pre-Primary,19.0,50
208,Pre-Primary,19.0,50
209,Pre-Primary,19.0,50
210,Pre-Primary,19.0,50
211,Pre-Primary,18.5,50
212,Pre-Primary,18.5,50
213,Pre-Primary,18.5,50
214,Pre-Primary,18.5,50
215,Pre-Primary,18.5,50
216,Pre-Primary,18.5,50
217,Pre-Primary,18.0,50
218,Pre-Primary,18.0,50
219,Pre-Primary,18.0,50
220,Pre-Primary,18.0,50
221,Pre-Primary,18.0,50
222,Pre-Primary,18.0,50
223,Pre-Primary,18.0,50
224,Pre-Primary,18.0,50
225,Pre-Primary,18.0,50
226,Pre-Primary,17.5,50
227,Pre-Primary,17.5,50
228,Pre-Primary,17.5,50
229,Pre-Primary,17.0,50
230,Pre-Primary,17.0,50
231,Pre-Primary,17.0,50
232,Pre-Primary,17.0,50
233,Pre-Primary,17.0,50
234,Pre-Primary,17.0,50
235,Pre-Primary,17.0,50
236,Pre-Primary,17.0,50
237,Pre-Primary,16.5,50
238,Pre-Primary,16.5,50
239,Pre-Primary,16.5,50
240,Pre-Primary,16.5,50
241,Pre-Primary,16.5,50
242,Pre-Primary,16.5,50
243,Pre-Primary,16.5,50
244,Pre-Primary,16.0,50
245,Pre-Primary,16.0,50
246,Pre-Primary,15.5,50
247,Pre-Primary,15.5,50
248,Pre-Primary,15.5,50
249,Pre-Primary,15.5,50
250,Pre-Primary,15.0,50
251,Pre-Primary,15.0,50
252,Pre-Primary,15.0,50
253,Pre-Primary,15.0,50
254,Pre-Primary,14.5,50
255,Pre-Primary,14.5,50
256,Pre-Primary,14.0,50
257,Pre-Primary,14.0,50
258,Pre-Primary,13.5,50
259,Pre-Primary,13.5,50
260,Pre-Primary,13.5,50
261,Pre-Primary,13.5,50
262,Pre-Primary,13.5,50
263,Pre-Primary,13.0,50
264,Pre-Primary,13.0,50
265,Pre-Primary,13.0,50
266,Pre-Primary,12.5,50
267,Pre-Primary,12.5,50
268,Pre-Primary,12.5,50
269,Pre-Primary,12.5,50
270,Pre-Primary,12.0,50
271,Pre-Primary,12.0,50
272,Pre-Primary,12.0,50
273,Pre-Primary,11.5,50
274,Pre-Primary,11.5,50
275,Pre-Primary,11.5,50
276,Pre-Primary,11.5,50
277,Pre-Primary,11.0,50
278,Pre-Primary,10.5,50
279,Pre-Primary,10.5,50
280,Pre-Primary,10.0,50
281,Pre-Primary,9.5,50
282,Pre-Primary,8.5,50
283,Pre-Primary,7.5,50
284,Pre-Primary,7.5,50
285,Pre-Primary,7.0,50
286,Pre-Primary,7.0,50
287,Pre-Primary,6.5,50
288,Pre-Primary,6.5,50
289,Pre-Primary,6.0,50
290,Pre-Primary,4.5,50
291,Pre-Primary,3.0,50
