Will be tested for,Marks Obtained,Maximum Marks,Percentage
Senior Maths ICSE,44.0,50,88.0
Senior Maths ICSE,39.0,50,78.0
Senior Maths ICSE,29.0,50,57.99999999999999
Senior Maths ICSE,28.0,50,56.00000000000001
Senior Maths ICSE,24.0,50,48.0
Senior Maths ICSE,20.0,50,40.0
Senior Maths ICSE,15.0,50,30.0
Senior Maths ICSE,15.0,50,30.0
Senior Maths ICSE,11.0,50,22.0
Senior Maths ICSE,10.0,50,20.0
Robotics,53.0,100,53.0
Robotics,46.5,100,46.5
Robotics,34.5,100,34.5
Robotics,9.5,50,19.0
Primary Maths,38.5,50,77.0
Primary Maths,36.0,50,72.0
Primary Maths,40.5,50,81.0
Primary Maths,42.5,50,85.0
Primary Maths,40.5,50,81.0
Primary Maths,42.0,50,84.0
Primary Maths,43.0,50,86.0
Primary Maths,41.5,50,83.0
Primary Maths,39.0,50,78.0
Primary Maths,37.5,50,75.0
Primary Maths,38.5,50,77.0
Primary Maths,37.0,50,74.0
Primary Maths,38.0,50,76.0
Primary Maths,45.5,50,91.0
Primary Maths,36.5,50,73.0
Primary Maths,39.5,50,79.0
Primary Maths,42.0,50,84.0
Primary Maths,36.5,50,73.0
Primary Maths,36.5,50,73.0
Primary Maths,37.5,50,75.0
Primary Maths,42.0,50,84.0
Primary Maths,47.0,50,94.0
Primary Maths,35.5,50,71.0
Primary Maths,36.5,50,73.0
Primary Maths,37.5,50,75.0
Primary Maths,35.5,50,71.0
Primary Maths,35.0,50,70.0
Primary Maths,35.0,50,70.0
Primary Maths,35.0,50,70.0
Primary Maths,35.0,50,70.0
Primary Maths,35.0,50,70.0
Primary Maths,34.5,50,69.0
Primary Maths,33.5,50,67.0
Primary Maths,33.5,50,67.0
Primary Maths,33.5,50,67.0
Primary Maths,33.0,50,66.0
Primary Maths,32.5,50,65.0
Primary Maths,32.5,50,65.0
Primary Maths,32.0,50,64.0
Primary Maths,32.0,50,64.0
Primary Maths,31.5,50,63.0
Primary Maths,31.0,50,62.0
Primary Maths,31.0,50,62.0
Primary Maths,30.5,50,61.0
Primary Maths,30.5,50,61.0
Primary Maths,30.0,50,60.0
Primary Maths,29.5,50,59.0
Primary Maths,29.5,50,59.0
Primary Maths,29.5,50,59.0
Primary Maths,29.0,50,57.99999999999999
Primary Maths,28.0,50,56.00000000000001
Primary Maths,28.0,50,56.00000000000001
Primary Maths,28.0,50,56.00000000000001
Primary Maths,27.5,50,55.00000000000001
Primary Maths,27.5,50,55.00000000000001
Primary Maths,27.5,50,55.00000000000001
Primary Maths,27.0,50,54.0
Primary Maths,27.0,50,54.0
Primary Maths,27.0,50,54.0
Primary Maths,25.5,50,51.0
Primary Maths,25.5,50,51.0
Primary Maths,25.0,50,50.0
Primary Maths,24.5,50,49.0
Primary Maths,24.5,50,49.0
Primary Maths,23.5,50,47.0
Primary Maths,23.5,50,47.0
Primary Maths,23.0,50,46.0
Primary Maths,22.5,50,45.0
Primary Maths,21.5,50,43.0
Primary Maths,21.0,50,42.0
Primary Maths,21.0,50,42.0
Primary Maths,21.0,50,42.0
Primary Maths,20.0,50,40.0
Primary Maths,20.0,50,40.0
Primary Maths,19.5,50,39.0
Primary Maths,18.0,50,36.0
Primary Maths,17.5,50,35.0
Primary Maths,17.0,50,34.0
Primary Maths,17.0,50,34.0
Primary Maths,15.0,50,30.0
Primary Maths,14.5,50,28.999999999999996
Primary Maths,14.5,50,28.999999999999996
Primary Maths,14.0,50,28.000000000000004
Primary Maths,13.5,50,27.0
Primary Maths,13.5,50,27.0
Primary Maths,13.0,50,26.0
Primary Maths,13.0,50,26.0
Primary Maths,10.0,50,20.0
Primary Maths,9.5,50,19.0
Primary Maths,9.5,50,19.0
Primary Maths,47.5,50,95.0
Primary Maths,47.0,50,94.0
Primary Maths,46.0,50,92.0
Primary Maths,37.0,50,74.0
Primary Maths,36.0,50,72.0
Primary Computer,74.0,100,74.0
Primary Computer,67.0,100,67.0
Primary Computer,62.0,100,62.0
Primary Computer,69.5,100,69.5
Primary Computer,60.5,100,60.5
Primary Computer,68.5,100,68.5
Primary Computer,26.5,50,53.0
Primary Computer,26.0,50,52.0
Primary Computer,25.0,50,50.0
Primary Computer,22.5,50,45.0
Primary Computer,22.5,50,45.0
Primary Computer,20.0,50,40.0
Primary Computer,19.5,50,39.0
Primary Computer,19.0,50,38.0
Primary Computer,16.5,50,33.0
Primary Computer,16.5,50,33.0
Primary Computer,16.0,50,32.0
Primary Computer,14.5,50,28.999999999999996
Primary Computer,13.5,50,27.0
Primary Computer,13.5,50,27.0
Primary Computer,12.5,50,25.0
Primary Computer,12.0,50,24.0
Primary Computer,11.5,50,23.0
Pre-Primary,25.0,50,50.0
Pre-Primary,27.0,50,54.0
Pre-Primary,26.0,50,52.0
Pre-Primary,31.5,50,63.0
Pre-Primary,27.5,50,55.00000000000001
Pre-Primary,26.0,50,52.0
Pre-Primary,31.5,50,63.0
Pre-Primary,29.0,50,57.99999999999999
Pre-Primary,32.0,50,64.0
Pre-Primary,25.0,50,50.0
Pre-Primary,31.0,50,62.0
Pre-Primary,27.5,50,55.00000000000001
Pre-Primary,27.0,50,54.0
Pre-Primary,29.0,50,57.99999999999999
Pre-Primary,26.5,50,53.0
Pre-Primary,31.0,50,62.0
Pre-Primary,36.0,50,72.0
Pre-Primary,25.5,50,51.0
Pre-Primary,29.5,50,59.0
Pre-Primary,24.5,50,49.0
Pre-Primary,26.0,50,52.0
Pre-Primary,32.5,50,65.0
Pre-Primary,25.5,50,51.0
Pre-Primary,28.0,50,56.00000000000001
Pre-Primary,25.0,50,50.0
Pre-Primary,24.5,50,49.0
Pre-Primary,26.5,50,53.0
Pre-Primary,26.0,50,52.0
Pre-Primary,28.0,50,56.00000000000001
Pre-Primary,29.5,50,59.0
Pre-Primary,27.0,50,54.0
Pre-Primary,24.5,50,49.0
